"Table 8.1 Rates (R, V), income thresholds (A), and constants (K, KP) effective July 1, 2026",,,,,,,,,
,,1st,2nd,3rd,4th,5th,6th,7th,8th
Federal,A,0,"58,523","117,045","181,440","258,482",,,
,R,0.14,0.205,0.26,0.29,0.33,,,
,K,0,"3,804","10,241","15,685","26,024",,,
AB,A,0,"61,200","154,259","185,111","246,813","370,220",,
,V,0.08,0.1,0.12,0.13,0.14,0.15,,
,KP,0,"1,224","4,309","6,160","8,628","12,331",,
BC,A,0,"50,363","100,728","115,648","140,430","190,405","265,545",
,V,0.0614,0.077,0.105,0.1229,0.147,0.168,0.205,
,KP,0,786,"3,606","5,676","9,061","13,059","22,884",
ON,A,0,"53,891","107,785","150,000","220,000",,,
,V,0.0505,0.0915,0.1116,0.1216,0.1316,,,
,KP,0,"2,210","4,376","5,876","8,076",,,
